ENSP00000436737	ENSG00000085063	ENST00000533403
ENSP00000391546	ENSG00000143393	ENST00000446339
ENSP00000245448	ENSG00000125375	ENST00000245448
ENSP00000455988	ENSG00000153048	ENST00000568968
ENSP00000455985	ENSG00000261210	ENST00000493231
ENSP00000455980	ENSG00000087250	ENST00000565838
ENSP00000455981	ENSG00000168488	ENST00000566007
ENSP00000417256	ENSG00000128928	ENST00000473112
ENSP00000417254	ENSG00000175792	ENST00000478892
ENSP00000417255	ENSG00000128510	ENST00000492072
ENSP00000417253	ENSG00000114054	ENST00000482086
ENSP00000417250	ENSG00000121577	ENST00000493094
ENSP00000426716	ENSG00000196104	ENST00000510741
ENSP00000426715	ENSG00000038427	ENST00000513984
ENSP00000482553	ENSG00000162105	ENST00000618363
ENSP00000426711	ENSG00000186409	ENST00000507855
ENSP00000453209	ENSG00000133961	ENST00000560335
ENSP00000453208	ENSG00000100897	ENST00000560713
ENSP00000482559	ENSG00000120948	ENST00000610369
ENSP00000346708	ENSG00000103145	ENST00000354679
ENSP00000425356	ENSG00000109180	ENST00000503016
ENSP00000425354	ENSG00000151617	ENST00000511804
ENSP00000425355	ENSG00000151458	ENST00000515641
ENSP00000346701	ENSG00000131018	ENST00000354674
ENSP00000424403	ENSG00000131127	ENST00000505939
ENSP00000424406	ENSG00000173868	ENST00000503902
ENSP00000376138	ENSG00000064490	ENST00000392324
ENSP00000430107	ENSG00000104221	ENST00000520601
ENSP00000430106	ENSG00000147669	ENST00000522439
ENSP00000376137	ENSG00000115415	ENST00000392323
ENSP00000376135	ENSG00000196458	ENST00000392321
ENSP00000258672	ENSG00000136169	ENST00000258672
ENSP00000456187	ENSG00000077235	ENST00000568569
ENSP00000456189	ENSG00000127554	ENST00000561710
ENSP00000390635	ENSG00000131591	ENST00000434641
ENSP00000390636	ENSG00000162105	ENST00000458632
ENSP00000412754	ENSG00000130649	ENST00000421586
ENSP00000414750	ENSG00000215474	ENST00000425639
ENSP00000394397	ENSG00000115211	ENST00000445933
ENSP00000394399	ENSG00000127954	ENST00000414498
ENSP00000485527	ENSG00000274276	ENST00000624934
ENSP00000458057	ENSG00000125107	ENST00000567285
ENSP00000458056	ENSG00000052344	ENST00000567797
ENSP00000392776	ENSG00000136560	ENST00000456358
ENSP00000485521	ENSG00000117859	ENST00000625138
ENSP00000458052	ENSG00000134419	ENST00000563579
ENSP00000458059	ENSG00000007376	ENST00000562070
ENSP00000485528	ENSG00000279054	ENST00000623045
ENSP00000484696	ENSG00000080845	ENST00000495241
ENSP00000484697	ENSG00000167468	ENST00000614791
ENSP00000484693	ENSG00000278633	ENST00000619792
ENSP00000422768	ENSG00000204628	ENST00000511900
ENSP00000422769	ENSG00000250091	ENST00000514254
ENSP00000422766	ENSG00000112851	ENST00000511297
ENSP00000422767	ENSG00000196455	ENST00000512430
ENSP00000422764	ENSG00000067606	ENST00000497183
ENSP00000422762	ENSG00000005700	ENST00000503631
ENSP00000422763	ENSG00000150627	ENST00000508596
ENSP00000394023	ENSG00000154328	ENST00000436750
ENSP00000453972	ENSG00000185787	ENST00000559751
ENSP00000453970	ENSG00000148516	ENST00000558440
ENSP00000453977	ENSG00000198901	ENST00000560423
ENSP00000453976	ENSG00000092010	ENST00000561435
ENSP00000453979	ENSG00000215271	ENST00000561013
ENSP00000453978	ENSG00000137824	ENST00000560460
ENSP00000375795	ENSG00000162892	ENST00000391929
ENSP00000448606	ENSG00000175203	ENST00000546670
ENSP00000476088	ENSG00000259316	ENST00000561349
ENSP00000457273	ENSG00000090905	ENST00000568750
ENSP00000457274	ENSG00000169955	ENST00000568028
ENSP00000421155	ENSG00000169083	ENST00000504326
ENSP00000413401	ENSG00000115355	ENST00000444458
ENSP00000457278	ENSG00000173638	ENST00000567670
ENSP00000457279	ENSG00000168928	ENST00000567767
ENSP00000476080	ENSG00000138085	ENST00000606999
ENSP00000476087	ENSG00000184162	ENST00000539678
ENSP00000413409	ENSG00000188739	ENST00000429912
ENSP00000422498	ENSG00000145362	ENST00000505342
ENSP00000264203	ENSG00000077549	ENST00000264203
ENSP00000457794	ENSG00000103248	ENST00000565482
ENSP00000484344	ENSG00000185761	ENST00000585804
ENSP00000423389	ENSG00000013375	ENST00000509219
ENSP00000484348	ENSG00000275730	ENST00000618034
ENSP00000422493	ENSG00000153404	ENST00000502646
ENSP00000422497	ENSG00000205678	ENST00000509536
ENSP00000383937	ENSG00000170889	ENST00000402367
ENSP00000420404	ENSG00000049541	ENST00000497430
ENSP00000383933	ENSG00000219438	ENST00000402357
ENSP00000383930	ENSG00000137869	ENST00000405913
ENSP00000415808	ENSG00000147604	ENST00000435330
ENSP00000473562	ENSG00000131831	ENST00000509491
ENSP00000473566	ENSG00000230453	ENST00000465094
ENSP00000462368	ENSG00000249459	ENST00000580145
ENSP00000473568	ENSG00000107738	ENST00000470317
ENSP00000477023	ENSG00000088881	ENST00000609451
ENSP00000477022	ENSG00000166313	ENST00000529519
ENSP00000477021	ENSG00000170222	ENST00000609540
ENSP00000477027	ENSG00000126768	ENST00000495490
ENSP00000477026	ENSG00000225362	ENST00000564862
ENSP00000470037	ENSG00000142541	ENST00000467825
ENSP00000409333	ENSG00000115993	ENST00000430254
ENSP00000409331	ENSG00000172995	ENST00000438577
ENSP00000393558	ENSG00000171174	ENST00000458185
ENSP00000409337	ENSG00000178233	ENST00000438774
ENSP00000381270	ENSG00000146350	ENST00000398212
ENSP00000458943	ENSG00000127564	ENST00000574385
ENSP00000458942	ENSG00000072210	ENST00000571537
ENSP00000389068	ENSG00000068831	ENST00000419843
ENSP00000454619	ENSG00000178802	ENST00000565576
ENSP00000454617	ENSG00000140876	ENST00000563839
ENSP00000454616	ENSG00000007376	ENST00000569601
ENSP00000454615	ENSG00000140859	ENST00000561524
ENSP00000454612	ENSG00000128989	ENST00000564163
